Reference, Quantity, Value, Digi-Key Part
A1 ,1,Arduino_Nano_v3.x,1050-1001-ND
C2 C4 C5 ,3,100nF,478-2472-ND
C6 C1 C3 ,3,100uF,1189-4176-ND
C7 ,1,10nF,399-5450-1-ND
C9 C8 ,2,100nF,399-5444-1-ND
D1 D2 D3 D4 D5 D6 ,6,1N4148,1N4148-TPMSCT-ND
D7 ,1,LED,732-5008-ND
J1 J2 J3 ,3,AudioJack2,CP1-3533NG-ND
J4 ,1,2X8 Header,S2011EC-08-ND
J5 ,1,Conn_02x05_Odd_Even,609-3236-ND
JP1 JP2 ,2,Conn_01x02_Male,952-2261-ND
Q1 ,1,BS170,BS170-ND
R1 R2 R3 ,3,470,CF14JT470RCT-ND
R10 R9 ,2,10.0K,BC3326CT-ND
R4 ,1,17.8K,BC4022CT-ND
R5 ,1,140K,BC3995CT-ND
R6 ,1,15.8K,BC4574CT-ND
R7 ,1,1K,CF14JT1K00CT-ND
R8 ,1,10K,CF14JT10K0CT-ND
RV1 RV2 RV3 ,3,10K,PTD901-1015K-B103-ND
TP1 ,1,TestPoint,36-5006-ND
U1 U2 ,2,NE5532,296-16995-5-ND
,3,Knob,1722-1314-ND
